kept,coverage,accuracy,risk,threshold
1,0.006579,1.0,0.0,0.960622
2,0.013158,1.0,0.0,0.949565
3,0.019737,1.0,0.0,0.949345
4,0.026316,1.0,0.0,0.949222
5,0.032895,1.0,0.0,0.949124
6,0.039474,1.0,0.0,0.939462
7,0.046053,1.0,0.0,0.934229
8,0.052632,1.0,0.0,0.9319
9,0.059211,1.0,0.0,0.930568
10,0.065789,1.0,0.0,0.929167
11,0.072368,1.0,0.0,0.927838
12,0.078947,1.0,0.0,0.926898
13,0.085526,0.923077,0.076923,0.926841
14,0.092105,0.928571,0.071429,0.92621
15,0.098684,0.933333,0.066667,0.92598
16,0.105263,0.9375,0.0625,0.924912
17,0.111842,0.941176,0.058824,0.92436
18,0.118421,0.944444,0.055556,0.923718
19,0.125,0.947368,0.052632,0.921954
20,0.131579,0.9,0.1,0.918966
21,0.138158,0.904762,0.095238,0.905112
22,0.144737,0.909091,0.090909,0.904946
23,0.151316,0.913043,0.086957,0.902198
24,0.157895,0.916667,0.083333,0.902198
25,0.164474,0.92,0.08,0.902198
26,0.171053,0.923077,0.076923,0.897737
27,0.177632,0.925926,0.074074,0.89013
28,0.184211,0.928571,0.071429,0.888806
29,0.190789,0.931034,0.068966,0.883584
30,0.197368,0.933333,0.066667,0.879127
31,0.203947,0.935484,0.064516,0.877625
32,0.210526,0.9375,0.0625,0.876269
33,0.217105,0.939394,0.060606,0.876269
34,0.223684,0.941176,0.058824,0.876189
35,0.230263,0.942857,0.057143,0.873237
36,0.236842,0.944444,0.055556,0.866523
37,0.243421,0.945946,0.054054,0.866353
38,0.25,0.947368,0.052632,0.866353
39,0.256579,0.948718,0.051282,0.866268
40,0.263158,0.925,0.075,0.866268
41,0.269737,0.926829,0.073171,0.866268
42,0.276316,0.928571,0.071429,0.866225
43,0.282895,0.930233,0.069767,0.866225
44,0.289474,0.931818,0.068182,0.866225
45,0.296053,0.933333,0.066667,0.866225
46,0.302632,0.934783,0.065217,0.866225
47,0.309211,0.914894,0.085106,0.866182
48,0.315789,0.916667,0.083333,0.866182
49,0.322368,0.918367,0.081633,0.866182
50,0.328947,0.92,0.08,0.866182
51,0.335526,0.921569,0.078431,0.86614
52,0.342105,0.923077,0.076923,0.86614
53,0.348684,0.924528,0.075472,0.86614
54,0.355263,0.925926,0.074074,0.866097
55,0.361842,0.927273,0.072727,0.866097
56,0.368421,0.928571,0.071429,0.863036
57,0.375,0.929825,0.070175,0.859338
58,0.381579,0.931034,0.068966,0.8561
59,0.388158,0.932203,0.067797,0.854961
60,0.394737,0.916667,0.083333,0.853583
61,0.401316,0.901639,0.098361,0.851868
62,0.407895,0.887097,0.112903,0.85051
63,0.414474,0.888889,0.111111,0.848239
64,0.421053,0.875,0.125,0.848144
65,0.427632,0.876923,0.123077,0.847284
66,0.434211,0.878788,0.121212,0.847236
67,0.440789,0.880597,0.119403,0.845792
68,0.447368,0.882353,0.117647,0.844628
69,0.453947,0.884058,0.115942,0.843406
70,0.460526,0.885714,0.114286,0.843357
71,0.467105,0.887324,0.112676,0.842817
72,0.473684,0.888889,0.111111,0.842373
73,0.480263,0.890411,0.109589,0.841483
74,0.486842,0.891892,0.108108,0.840138
75,0.493421,0.893333,0.106667,0.839988
76,0.5,0.894737,0.105263,0.839638
77,0.506579,0.896104,0.103896,0.838228
78,0.513158,0.884615,0.115385,0.838026
79,0.519737,0.886076,0.113924,0.836857
80,0.526316,0.8875,0.1125,0.836244
81,0.532895,0.888889,0.111111,0.834445
82,0.539474,0.890244,0.109756,0.834393
83,0.546053,0.879518,0.120482,0.834134
84,0.552632,0.880952,0.119048,0.833771
85,0.559211,0.882353,0.117647,0.83163
86,0.565789,0.883721,0.116279,0.831314
87,0.572368,0.873563,0.126437,0.830205
88,0.578947,0.875,0.125,0.827804
89,0.585526,0.876404,0.123596,0.827536
90,0.592105,0.877778,0.122222,0.826781
91,0.598684,0.879121,0.120879,0.826456
92,0.605263,0.880435,0.119565,0.826456
93,0.611842,0.870968,0.129032,0.825152
94,0.618421,0.861702,0.138298,0.824551
95,0.625,0.863158,0.136842,0.824386
96,0.631579,0.864583,0.135417,0.824222
97,0.638158,0.865979,0.134021,0.824112
98,0.644737,0.867347,0.132653,0.823066
99,0.651316,0.858586,0.141414,0.822513
100,0.657895,0.86,0.14,0.821235
101,0.664474,0.861386,0.138614,0.821123
102,0.671053,0.862745,0.137255,0.82062
103,0.677632,0.864078,0.135922,0.820564
104,0.684211,0.855769,0.144231,0.819328
105,0.690789,0.857143,0.142857,0.819159
106,0.697368,0.858491,0.141509,0.81882
107,0.703947,0.859813,0.140187,0.818763
108,0.710526,0.851852,0.148148,0.818763
109,0.717105,0.853211,0.146789,0.818594
110,0.723684,0.854545,0.145455,0.818367
111,0.730263,0.855856,0.144144,0.81814
112,0.736842,0.857143,0.142857,0.817628
113,0.743421,0.858407,0.141593,0.816887
114,0.75,0.859649,0.140351,0.816601
115,0.756579,0.86087,0.13913,0.816429
116,0.763158,0.862069,0.137931,0.816314
117,0.769737,0.863248,0.136752,0.815912
118,0.776316,0.864407,0.135593,0.815509
119,0.782895,0.865546,0.134454,0.815394
120,0.789474,0.866667,0.133333,0.815279
121,0.796053,0.867769,0.132231,0.813656
122,0.802632,0.868852,0.131148,0.811548
123,0.809211,0.869919,0.130081,0.81143
124,0.815789,0.870968,0.129032,0.811312
125,0.822368,0.872,0.128,0.810603
126,0.828947,0.873016,0.126984,0.810484
127,0.835526,0.874016,0.125984,0.810188
128,0.842105,0.875,0.125,0.808638
129,0.848684,0.868217,0.131783,0.808638
130,0.855263,0.869231,0.130769,0.806954
131,0.861842,0.870229,0.129771,0.806894
132,0.868421,0.871212,0.128788,0.806712
133,0.875,0.87218,0.12782,0.806591
134,0.881579,0.865672,0.134328,0.806409
135,0.888158,0.866667,0.133333,0.806227
136,0.894737,0.860294,0.139706,0.803723
137,0.901316,0.854015,0.145985,0.802674
138,0.907895,0.855072,0.144928,0.802117
139,0.914474,0.856115,0.143885,0.801059
140,0.921053,0.857143,0.142857,0.800934
141,0.927632,0.851064,0.148936,0.800308
142,0.934211,0.852113,0.147887,0.720006
143,0.940789,0.853147,0.146853,0.720006
144,0.947368,0.854167,0.145833,0.699979
145,0.953947,0.855172,0.144828,0.661691
146,0.960526,0.856164,0.143836,0.659497
147,0.967105,0.85034,0.14966,0.655547
148,0.973684,0.851351,0.148649,0.653924
149,0.980263,0.852349,0.147651,0.644861
150,0.986842,0.853333,0.146667,0.631912
151,0.993421,0.854305,0.145695,0.599671
152,1.0,0.848684,0.151316,0.595757
